ProductID,SKU,ProductName,Category,Subcategory,Brand,CostPrice,MSRP,LaunchDate,DiscontinuedDate
P-00001,AC-171,Urban Jacket ,Accessories,Hats,,274.64,408.05,2022-12-16,
P-00002,AP-430,Classic Hoodie ,Apparel,T-Shirts,,97.69,285.96,2023-04-03,
P-00003,AP-763,URBAN SOCKS,Apparel,Pants,NordicStyle,30.0,120.86,2023-08-26,
P-00004,AP-591,Pro Runner ,Apparel,Jackets,ScandiWear,166.91,336.61,2023-08-10,
P-00005,AP-575,PRO BELT,Apparel,T-Shirts,ArcticGear,222.44,321.1,2023-02-17,
P-00006,AC-666,CLASSIC BAG,Accessories,Socks,NordicStyle,244.43,302.27,2023-08-30,
P-00007,AP-746,Classic Jacket,Apparel,Jackets,ArcticGear,217.31,409.98,2023-07-04,
P-00008,AC-997,Pro Belt ,Accessories,Belts,NordicStyle,153.97,417.66,2022-10-23,
P-00009,AC-527,Urban socks,Accessories,Belts,,153.81,526.08,2023-11-29,
P-00010,AP-180,URBAN TEE,Apparel,T-Shirts,NordicStyle,161.3,310.64,2023-03-25,
P-00011,AP-489,Urban socks,Apparel,Jackets,ArcticGear,310.48,313.98,2022-09-02,
P-00012,AP-501,Light bag,Apparel,Hoodies,ArcticGear,255.53,272.74,2023-03-10,
P-00013,FO-370,City Socks,Footwear,Sneakers,NordicStyle,244.05,499.86,2023-07-01,
P-00014,AP-848,City hoodie,Apparel,Pants,ArcticGear,207.28,321.15,2023-03-27,
P-00015,AC-316,LIGHT HOODIE,Accessories,Bags,ScandiWear,305.11,390.53,2023-10-15,
P-00016,AP-256,TRAIL TEE,Apparel,Hoodies,NordicFoot,257.8,319.36,2022-10-11,
P-00017,AC-518,Warm Jacket ,Accessories,Hats,NordicFoot,284.03,540.56,2023-02-10,
P-00018,AC-939,City belt,Accessories,Bags,ScandiWear,127.69,240.58,2023-01-13,2024-02-17
P-00019,FO-673,City Hoodie,Footwear,Sneakers,NordicStyle,121.4,257.96,2023-10-12,
P-00020,AC-825,Light Socks ,Accessories,Belts,,349.77,391.99,2023-08-26,
P-00021,FO-561,WARM JACKET,Footwear,Sandals,ScandiWear,212.08,482.5,2022-12-10,
P-00022,FO-497,Classic Jacket ,Footwear,Boots,NordicStyle,271.46,509.79,2023-05-13,
P-00023,AC-957,Classic Hoodie,Accessories,Belts,NordicStyle,590.95,630.5,2022-09-15,
P-00024,FO-195,Pro Socks ,Footwear,Sneakers,,229.58,343.7,2022-10-22,
P-00025,AC-848,Warm Hat ,Accessories,Socks,ArcticGear,133.97,334.84,2023-04-19,
P-00026,FO-259,Warm Tee,Footwear,Boots,ScandiWear,63.95,236.79,2022-09-13,
P-00027,AP-677,City Socks ,Apparel,Hoodies,ScandiWear,398.52,647.37,2023-06-11,
P-00028,FO-895,Trail Hoodie,Footwear,Sneakers,,58.63,315.75,2023-01-12,
P-00029,AP-430,Urban hat,Apparel,Hoodies,ArcticGear,161.73,373.32,2023-06-13,
P-00030,AP-289,Trail bag,Apparel,T-Shirts,,134.86,241.69,2023-04-19,
P-00031,AC-732,Urban Bag ,Accessories,Belts,,191.77,297.63,2023-11-20,
P-00032,AC-809,Classic tee,Accessories,Hats,,252.57,433.9,2023-08-25,
P-00033,AP-324,Warm Runner,Apparel,T-Shirts,NordicFoot,30.0,221.46,2023-02-12,
P-00034,FO-473,Urban Tee,Footwear,Sandals,,182.3,236.03,2023-07-12,
P-00035,AC-212,Urban Belt ,Accessories,Hats,NordicFoot,253.15,278.17,2023-02-27,
P-00036,AC-609,Pro Hoodie,Accessories,Socks,,218.3,365.01,2023-05-26,
P-00037,AP-724,City Bag ,Apparel,Hoodies,NordicStyle,339.54,610.14,2022-12-10,
P-00038,AP-835,Trail Bag,Apparel,Hoodies,,212.92,404.31,2023-08-09,
P-00039,FO-152,Urban Bag,Footwear,Sneakers,,198.84,385.03,2023-01-08,
P-00040,AP-346,Light Belt ,Apparel,Hoodies,ScandiWear,257.38,406.49,2023-10-21,
P-00041,AC-393,CLASSIC HAT,Accessories,Bags,ScandiWear,345.71,585.94,2023-01-01,2024-03-30
P-00042,AP-610,Urban socks,Apparel,Jackets,NordicStyle,374.31,392.53,2023-03-17,
P-00043,AP-870,CITY TEE,Apparel,Hoodies,NordicFoot,111.04,193.08,2023-08-15,
P-00044,FO-445,PRO TEE,Footwear,Boots,NordicFoot,407.73,662.56,2023-10-08,
P-00045,AC-810,City Runner ,Accessories,Socks,NordicFoot,49.43,207.66,2023-08-18,
P-00046,FO-650,Warm Hat ,Footwear,Hats,NordicStyle,279.0,319.24,2023-01-06,
P-00047,FO-514,Urban jacket,Footwear,Boots,NordicFoot,133.84,245.19,2023-01-29,
P-00048,AP-243,Pro Bag,Apparel,Pants,ScandiWear,180.76,397.49,2023-05-10,
P-00049,FO-980,Light Belt,Footwear,Boots,ScandiWear,245.02,551.88,2022-10-30,
P-00050,AP-552,Classic hoodie,Apparel,Jackets,ScandiWear,184.31,309.61,2023-01-18,
P-00051,FO-332,Classic Hat ,Footwear,Sandals,ArcticGear,248.59,492.41,2022-09-09,
P-00052,AP-503,Pro Hat,Apparel,Hoodies,ScandiWear,362.93,408.87,2023-01-09,
P-00053,AC-727,LIGHT BAG,Accessories,Bags,ScandiWear,247.55,439.12,2023-10-13,
P-00054,FO-211,Urban jacket,Footwear,Sandals,ArcticGear,244.89,496.58,2023-04-15,
P-00055,AC-995,City bag,Accessories,Belts,NordicStyle,252.24,316.52,2023-08-15,
P-00056,FO-819,Warm belt,Footwear,Boots,NordicFoot,204.27,286.42,2023-02-10,
P-00057,AC-603,LIGHT HOODIE,Accessories,Belts,,219.47,323.47,2023-07-01,
P-00058,FO-739,Light Bag ,Footwear,Sneakers,NordicFoot,325.97,525.5,2023-10-06,
P-00059,AP-569,City hoodie,Apparel,Pants,,124.56,292.06,2023-09-06,
P-00060,AP-329,Trail Hat ,Apparel,Pants,NordicStyle,122.15,174.25,2022-10-08,
